14497904,Easy RED Spray Mop (FREE 3 microfibre cloths + 1 brush!!!),Lazada,29,19,- Good Quality (100% good track record with our customers)- 1 x brush to wash your dirty cloths- 3 x microfibre cloths that can for a vvv long time- Proven track record from existing customers (picks up fallen\nhair and dusts very well).,http://sg-live-02.slatic.net/p/3/easy-red-spray-mop-free-3-microfibre-cloths-1-brush-1450-40979441-45695f0f3c970ba6cbce64c58d9fde90-product.jpg,0,housekeeping,
13888909,32 long clip folding drying rack underwear socks clip hanger socks drying rack multifunctional drying rack clothes folder,Lazada,3,55,- Environmentally friendly material good toughness for a long\ntime with no aging- Brand : YJYJ/habitat yi yi house- Material : Plastic- Item : YJ-62031,http://sg-live-02.slatic.net/p/3/32-long-clip-folding-drying-rack-underwear-socks-clip-hanger-socks-drying-rack-multifunctional-drying-rack-clothes-folder-6483-90988831-e11ce1233b14408da84d415f45f9f8ce-product.jpg,0,housekeeping,
13888096,German exports pepper mill pepper grinder manual pepper grinder black pepper grinder,Lazada,10,0,- Health odorless smooth without paint wax can adjust the\nthickness of the flour- Brand : Ggj/princess house- Suite type : Other- Item : HJM- Material : Glass- Style : Rotary type- The number of : 1,http://sg-live-02.slatic.net/p/3/german-exports-pepper-mill-pepper-grinder-manual-pepper-grinder-black-pepper-grinder-6406-69088831-2b41062a113e1603ea0f079892b56846-product.jpg,0,home-improvement,
13533046,SG Beans Versa bean bag (Wine),Lazada,99,23,- Lightweight and durable  can be moved around the house\neasily.- Can be used in many different positions- Bean bag has a concealed inbuilt funnel with zip for easier\nrefilling and avoiding of leakage.- Purposely overfilled to last longer.,http://sg-live-03.slatic.net/p/3/sg-beans-versa-bean-bag-wine-5651-64033531-f76b4f91481d0d98ff6902b2152973c3-product.jpg,0,furniture,
13135882,Typist Chair Black Frame ?Stationary?,Lazada,40,33,- Sleek Design- Lumbar Support- Comfortable Armrest- Heavy Duty 5-star Frame- Ergonomic S-Shape Design- SGS Certified Hydraulics,http://sg-live-01.slatic.net/p/3/typist-chair-black-frame-stationary-4705-28853131-b99a7e5c94e2417e3d14a4a5929bd11e-product.jpg,0,furniture,
13135836,Typist Chair White Frame ?With Wheels?,Lazada,53,34,- Nylon White Frame- Unified Streamlining- Breathable mesh material- Heavy Duty Chrome Legs- S-shape design that support your back- High Density Memory Foam,http://sg-live-03.slatic.net/p/3/typist-chair-white-frame-with-wheels-4708-63853131-0ea930f8cb7affacc17096cb8c53a880-product.jpg,0,furniture,
12945590,Dolphin Collection Pvc Flat Top Washing Machine Cover,Lazada,12,0,- Brand: Dolphin Collection- Size: 55x55x95cm. Features: Practical Protection  Give your\nwashing machine a longer life  preventing its rapid deterioration\nby protecting it from scratches  bangs  dirt  rust  etc &\nelegant design- Ideal and perfect to use- 100% Brand New- This product has a high quality material and unique design,http://sg-live-01.slatic.net/p/3/dolphin-collection-pvc-flat-top-washing-machine-cover-8114-09554921-cf062e6eaed5d0456fbca5187d13bfd7-product.jpg,0,housekeeping,
12489322,Seoul Stone Tri-Function Shower Head,Lazada,49,2,- Filter water impurities  Chlorine and bacteria- Increase water pressure up to 200%- Conserve water up to 35%- Revitalize and Hydrate your hair and skin- Suitable for everyone from children to adults and those with\nsensitive skin- Create the spa experience in your own home everyday,http://sg-live-02.slatic.net/p/3/seoul-stone-tri-function-shower-head-0265-22398421-e95c39980d3a7a3378ed9c51e7a2fb6b-product.jpg,0,home-improvement,
12334913,4 - Layer Movable Slim Wheel Rack Multi-purpose Storage Rack Kitchen Bathroom - intl,Lazada,18,67,- Crevice gap storage rack- Built-in removable wheels design- Detachable rack design- Easy assembly required- Easy to store in any crevice or gap- Easy to clean and save the space- Size?102.5x 54.5 x12.5cm,http://sg-live-02.slatic.net/p/3/4-layer-movable-slim-wheel-rack-multi-purpose-storage-rack-kitchen-bathroom-intl-9745-31943321-7e4e7dfc563e27c5bf69c658f359481d-product.jpg,0,furniture,
12087083,Method Dish Soap Pump Refill - Clementine 1L,Lazada,15,0,- Enough to refill Dish Soap bottle 2 times- Ultra grease-fighting with non-toxic  plant-based powergreen\ntechnology - Just a pump goes a long way to get ride of tough grease +\ngrime- For sparkling clean dishes,http://sg-live-02.slatic.net/p/3/method-dish-soap-pump-refill-clementine-1l-8464-38078021-7dfdd9d505d3b3e3bf3e649009797bc0-product.jpg,0,housekeeping,
12087077,Method Dish Soap Pump Refill - Lemon Mint 1L,Lazada,15,0,- Enough to refill Dish Soap bottle 2 times- Ultra grease-fighting with non-toxic  plant-based powergreen\ntechnology - Just a pump goes a long way to get ride of tough grease +\ngrime- For sparkling clean dishes,http://sg-live-01.slatic.net/p/3/method-dish-soap-pump-refill-lemon-mint-1l-8470-77078021-5a6e19bb55a8fa9da1410ef2e07d0a9d-product.jpg,0,housekeeping,
11538465,Multi-functional Folding Clothes Drying Racks Laundry Drying Hanger Home Indoor Outdoor Grey - intl,Lazada,9,53,- Material: Iron + PP- Color: Green  Grey  Rose red (Optional)- PP Hook Height: Approx. 9.3cm / 3.7inch- Iron Rack Size: Approx. 45 x 37cm / 17.7 x 14.6inch- Package Weight: Approx. 360g,http://sg-live-01.slatic.net/p/3/multi-functional-folding-clothes-drying-racks-laundry-drying-hanger-home-indoor-outdoor-grey-intl-9630-56483511-d3d0b9198606bc03860b9d9080995778-product.jpg,60,housekeeping,
11530509,MagiDeal Candle Wick Stainless Steel Scissors Trim Trimmer Snuffers Light Champagne - intl,Lazada,7,42,- Durable- Top quality- Good Product Design,http://sg-live-01.slatic.net/p/3/magideal-candle-wick-stainless-steel-scissors-trim-trimmer-snuffers-light-champagne-intl-2244-90503511-2289c6e2d9caffe202ed8d7eda745d71-product.jpg,0,home-improvement,
11395974,Noveada CADIZ - 3 Seater sofa  GREY (Free Assembly),Lazada,688,22,- Solid typical hardwood frame- Detachable cushion covers- Water resistance fabric- Firm polyurethane foam inserts- Stylish sofa for any interiors- Free assembly,http://sg-live-02.slatic.net/p/3/noveada-cadiz-3-seater-sofa-grey-free-assembly-2047-47959311-0b1683070155728b9d0e27474f101d0e-product.jpg,0,furniture,
11129885,Targus® Smart 4 Way Power Extension SAFETY Socket,Lazada,47,47,- Targus® Smart Surge 4- 2 Years Targus Official Warranty- Safety Mark Approved,http://sg-live-03.slatic.net/p/3/targus-r-smart-4-way-power-extension-safety-socket-9476-58892111-a6424294fd8d7f718ddc8b43e529185b-product.jpg,0,home-improvement,
11129884,Targus® Smart 6 Way Power Extension SAFETY Socket,Lazada,57,42,- Targus® Smart Surge 6- ?years warranty by Targus- Safety Mark ApprovedChild Safe,http://sg-live-01.slatic.net/p/3/targus-r-smart-6-way-power-extension-safety-socket-9478-48892111-e7017246143a5ce5d78b3b2b6b454ca1-product.jpg,0,home-improvement,
11118698,Weiman Granite Cleaner Spray (12 Oz.),Lazada,14,10,- Leave streak-free brilliant shine- Safe for use on variety of surfaces- Neutral pH to ensure compatibility in different surfaces- Clean and polishes the toughest stains- Include stain by Good Housekeeping Seal,http://sg-live-01.slatic.net/p/3/weiman-granite-cleaner-spray-12-oz-3648-89681111-7e8245239e638e59da62abf0eb6bad1f-product.jpg,0,housekeeping,
11112566,Sarah Storage Cabinet Cream (Fully Assembled),Lazada,130,35,- Assembled and ready to use.- Perfect for storing all kinds of items.- Make an excellent addition to your bedroom  bathroom  laundry\nor kitchen.- Stylishly store and display a wide range of items.,http://sg-live-01.slatic.net/p/3/sarah-storage-cabinet-cream-fully-assembled-2025-66521111-ced6f4b3f790dd538c686726a581550b-product.jpg,0,furniture,
11110807,Nova 405 Bedroom Set (FREE DELIVERY)(FREE ASSEMBLY),Lazada,748,53,- 4D effect design- Materials: Plywood  MDF  laminate and faux leather- Colour available as shown- Queen size bed frame + headboard with thick cushion wrapped by\nfaux leather (L153 x W209 x H105 cm)- 2 sliding door wardrobe with aluminium track (L122 x W56 x H191\ncm)- Sliding mirror dressing table (L67 x W39 x H168 cm)- Cushioned stool (L46 x W46 x H38 cm)- Bedside cabinet with drawer (L44.5 x W34.5 x H51 cm)- Mattress not included,http://sg-live-03.slatic.net/p/3/nova-405-bedroom-set-free-delivery-free-assembly-7347-70801111-fc301c5a6306fc11e5dce4c2f42ed557-product.jpg,0,furniture,
10848664,Nova 925-3-Seater Sofa (FREE DELIVERY),Lazada,149,50,- Faux leather- Hardwood frame- High density foam seat and back- 4\" square plastic sofa legs- 4D effect look- L 1600 x W 690 x H 710 mm- Choice of colours: Black  Dark Brown  Maroon  Khaki and\nWhite,http://sg-live-01.slatic.net/p/3/nova-925-3-seater-sofa-free-delivery-2933-46684801-cd9e00e4acccb4c627354342990a5d72-product.jpg,80,furniture,
10816055,BR801Korean Multi-functional Clothes Drying Rack - Purple,Lazada,47,47,- Stainless steel/Fast Dry/space saving- Two color options- Foldable/Moveable,http://sg-live-01.slatic.net/p/3/br801korean-multi-functional-clothes-drying-rack-purple-7809-55061801-f16ce70cc9a8bd53159a694c20ceb7e0-product.jpg,0,housekeeping,
10755538,6640 Multi-function Children Desk with Chairs,Lazada,165,16,- - Multi-function  for different activities\n- Round-angled design  protect your children\n- Nature Wood Color  simple and modern design,http://sg-live-03.slatic.net/p/3/6640-multi-function-children-desk-with-chairs-2807-83555701-2875ac869a69e4a74adc8fbaa38e5a1f-product.jpg,0,furniture,
10527925,MaxCoil Sofa Bed (Pink),Lazada,129,0,- Great space-saving sofa bed- Washable zipper fabric cover- High Density Foam Mattress- 6 different colours to choose from!,http://sg-live-03.slatic.net/p/3/maxcoil-sofa-bed-pink-6133-52972501-8d41d9bd861292a2773eb97b8c774b2d-product.jpg,0,furniture,
10494923,Supervisor Chair [9 Cubes],Lazada,44,32,- Premium PU Material- Sleek Design- Comfortable Cushion- Ergonomic Armrests- Heavy Duty Chrome Base,http://sg-live-03.slatic.net/p/3/supervisor-chair-9-cubes-2311-32949401-370e0271693348e33027703b8e8ad344-product.jpg,0,furniture,
10416467,Foldable Clothes Hanger Rack Wing Type Double Rod 3-tier,Lazada,35,41,- Lightweight- Wheels to push- Easy storage- Heavy load capacity - Durable,http://sg-live-03.slatic.net/p/3/foldable-clothes-hanger-rack-wing-type-double-rod-3-tier-6462-76461401-f80ff7ee2301cfbb4fa38acb8f2e5303-product.jpg,90,housekeeping,
9678226,Foldable Clothes Hanger Rack 3-tier,Lazada,39,35,- Quality finishing made of stainless steel- Foldable design for easy storage- Wheels attached,http://sg-live-03.slatic.net/p/3/foldable-clothes-hanger-rack-3-tier-6643-6228769-39406a4782458e1f0fb567230d808099-product.jpg,82,housekeeping,
9678225,Foldable Clothes Hanger Rack 2-tier,Lazada,34,32,- Quality finishing made of stainless steel- Foldable design for easy storage- Wheels attached,http://sg-live-02.slatic.net/p/3/foldable-clothes-hanger-rack-2-tier-4417-5228769-6e44ad8c74d41817b1c676a15a6241b9-product.jpg,74,housekeeping,
9463930,Folding Laundry Storage Basket Cotton Linen Waterproof Sundries Clothes Toys Household Storage Organizer ( White ) 35x45cm,Lazada,16,50,- Eco-friendly  washable - Clothes and toys organizer- Large capacity portable- 2016 Fashion design  High-quality products with\ncompetitive price,http://sg-live-02.slatic.net/p/3/folding-laundry-storage-basket-cotton-linen-waterproof-sundries-clothes-toys-household-storage-organizer-white-35x45cm-6649-0393649-50d3c573865b9ff0cfad434269bd6f65-product.jpg,0,housekeeping,
9417085,Stainless Folding Wall Hanger Mount Retractable Clothes Foldabel Hangers,Lazada,15,60,- Welcome to Our Store- Description- Features:- Material:Resin,http://sg-live-03.slatic.net/p/3/stainless-folding-wall-hanger-mount-retractable-clothes-foldabel-hangers-0131-5807149-bd9979840f30948548b97cc45fde121d-product.jpg,0,housekeeping,
9280868,Shoppy 5-tier Bamboo Shoe Rack Organizer,Lazada,43,39,- Lightweight and durable bamboo quality  easily organise your\nshoes and boxes into neat spaces - Space  every tier fits 2 pairs of shoes - Nicely complements any decor or colour scheme - Indoor/outdoor usage - Dimension: 70cm(L) x 26cm(W) x 90cm(H),http://sg-live-01.slatic.net/p/3/shoppy-5-tier-bamboo-shoe-rack-organizer-4466-8680829-a50b4e2dbf7223dffc1403b2a640a42a-product.jpg,60,furniture,
9220929,Contemporary Sofa Bed (PU Leather White),Lazada,139,54,- PU Leather- Convertible Sofa Bed- White,http://sg-live-03.slatic.net/p/3/contemporary-sofa-bed-pu-leather-white-3512-9290229-2281345cc0ec2061f010776e9a66b459-product.jpg,0,furniture,
9219520,3M Command 17072 Value Pack Hooks,Lazada,20,0,- Damage-Free Hanging - No nail holes- Holds strongly and removes cleanly- Works on a variety of surfaces- tile  fiberglass  painted\nsurfaces  finished wood  mirrors & more!,http://sg-live-02.slatic.net/p/3/3m-command-17072-value-pack-hooks-1365-0259129-49a1c378f2ecb94801c3e0dfbce8cbbb-product.jpg,100,home-improvement,
8951709,5pcs Magic Eraser Cleaning Cotton Nano Emery Sponge - Intl,Lazada,5,50,- Easy to clean the Kitchen utensils- Ideal for brushed bowl  Stainless etc- It is a good helper for your life- Material: Carborundum and Sponge- Size: Approx.98 x 70 x 25mm/3.85 x 2.75 x 0.98 inch- Color: AS picture shows,http://sg-live-02.slatic.net/p/3/5pcs-magic-eraser-cleaning-cotton-nano-emery-sponge-intl-2396-9071598-c482d67f2b4460a22a6d0c02c856806a-product.jpg,0,housekeeping,
8917240,Univonna Javier 3-Seater Recliner Sofa - Mocha,Lazada,735,37,- High-quality synthetic leather- High-Resiliency Foam Cushions- Solid Wood Frame- Comfort Level: 8/10- 2 Manual Recliners on the side- Item will be shipped within 10 days,http://sg-live-01.slatic.net/p/3/univonna-javier-3-seater-recliner-sofa-mocha-4831-0427198-bfdbeda16ddc3e6b93518575c46a2ff3-product.jpg,0,furniture,
8612933,HomeBuddy Wooden Organizer/Monitor Riser-5MM THICKNESS WOOD (Latest Design!)-Std DO WOODY,Lazada,20,50,- Desktop organiser with drawer features 4 pen\nholes- Made of 5mm thick wood for a stable\nstructure.-  ZOptions to choose:- 3 colors available (Black   White  Woody)- Dimensions: ,http://sg-live-02.slatic.net/p/3/homebuddy-wooden-organizer-monitor-riser-5mm-thickness-wood-latest-design-std-do-woody-8338-3392168-ee8c6fd85f79ee8b29bb418147df06df-product.jpg,100,furniture,
8612874,Computer Study Table (Model: T3 - BHT),Lazada,59,54,- Fashionable\ndesign- Perfect\nfor studying- High\ndurability- Perfect\nFinish- Excellent\nquality- DIY\nInstallation,http://sg-live-01.slatic.net/p/3/computer-study-table-model-t3-bht-3242-4782168-c40076c0ec07f111494d44d3603a4d1d-product.jpg,40,furniture,
8612171,Nordic Style Designer Linen Fabric Sofa Flow Series (3 seater),Lazada,503,50,- Solid wood frame ensure stability  durability- Classical design  enhance home decor- Generous foam cushioning ensure comfortable and relax,http://sg-live-01.slatic.net/p/3/nordic-style-designer-linen-fabric-sofa-flow-series-3-seater-2096-1712168-3cf723fc624302bb8fdf94a29d245f71-product.jpg,0,furniture,
8493344,KitchenAid Dish Brush (Red),Lazada,30,50,- Material: plastic handle and nylon bristles- Suited for scrubbing baked-on stains and grease- Cleans dinnerware- Replaceable brush head- Non-stick cookware without abrasion- Brush with soap-dispensing handle,http://sg-live-01.slatic.net/p/3/kitchenaid-dish-brush-red-7746-4433948-ab402428b1f29ee292c1c14670fed0e7-product.jpg,0,housekeeping,
8397302,Boomjoy M7 Spin Mop,Lazada,37,38,- \n BOOMJOY® M7 SPIN MOP \n\n\n\n\n\n \n\n\n\n\n\n\n\n\n\n \n \n \n \n ,http://sg-live-01.slatic.net/p/3/boomjoy-m7-spin-mop-7962-2037938-05094261c0f707f3f4b6ea46dcd8db49-product.jpg,100,housekeeping,
8372431,Genuine Leather Boss Chair 338 (Black),Lazada,161,46,- Genuine(Real) leather- Free installation - Ergonomic design,http://sg-live-02.slatic.net/p/3/genuine-leather-boss-chair-338-black-6682-1342738-d18ef9e6758bc075d102bce9f1601315-product.jpg,80,furniture,
8354500,Foldable Lazy Bed Desk/Portable Table/Desk/Laptop Table/Bed Table/Picnic Table Easy Carry / Table on Bed Study Desk Small Coffee Table,Lazada,27,75,- Size: 60 x 40 x 30cm - Material: Composite Wood   Stainless Steel- Color: Brown- Foldable legs for easy storage- Workstation that goes where you go. Read  Eat or use your\nlaptop from the comfort of your own bed  couch or chair- Easy to carry,http://sg-live-03.slatic.net/p/3/foldable-lazy-bed-desk-portable-table-desk-laptop-table-bed-table-picnic-table-easy-carry-table-on-bed-study-desk-small-coffee-table-7728-0054538-5ebbcff5102702de7ff1f84becdf3f51-product.jpg,80,furniture,
8193852,(D: Laundry Today or Naked) Fabric Laundry Basket,Lazada,9,90,- These Laundry baskets are brilliant. -  Made from sturdy  coated polycotton canvas  they\'re big\nenough to take a  week\'s worth of washing and they fold up\nflat so you can easily hide them away.  - These handy laundry bags are good looking enough to grace the\nsmartest bedrooms  landings or bathrooms but they\'d also make the\nperfect gift for your student son or daughter  or for someone who\nlikes to be organised on a family holiday.  These excellent\nlaundry baskets are great value too so you can pop one in every\nbedroom.  It\'s no hassle to fling the washing in so kiss\ngoodbye to piles of clothes all over the house. Bliss.,http://sg-live-03.slatic.net/p/3/d-laundry-today-or-naked-fabric-laundry-basket-7379-2583918-e4439d6aecd8dd4c1cce3fdd48183b28-product.jpg,80,housekeeping,
8193845,(A: Plan to wash) Fabric Laundry Basket,Lazada,9,90,- These Plan to Wash Laundry baskets are\nbrilliant. -  Made from sturdy  coated polycotton canvas  they\'re\nbig enough to take a  week\'s worth of washing and they fold up\nflat so you can easily hide them away.  - These handy laundry bags are good looking enough to grace\nthe smartest bedrooms  landings or bathrooms but they\'d also make\nthe perfect gift for your student son or daughter  or for someone\nwho likes to be organised on a family holiday.  These\nexcellent laundry baskets are great value too so you can pop one in\nevery bedroom.  It\'s no hassle to fling the washing in so kiss\ngoodbye to piles of clothes all over the house. Bliss.,http://sg-live-02.slatic.net/p/3/a-plan-to-wash-fabric-laundry-basket-7061-5483918-dd227c1fd9f35fdd63c8e4da3fc1293d-product.jpg,0,housekeeping,
7974050,3M Scotchgard Spot Remover & Upholstery Cleaner,Lazada,15,0,- Removes most common spots and spills effectively- No rinsing required- No sticky residue to cause resoiling- Easy to use,http://sg-live-02.slatic.net/p/3/3m-scotchgard-spot-remover-andamp-upholstery-cleaner-1402-0504797-90309db4eb5b26889eee3b24f956d231-product.jpg,0,housekeeping,
7914793,Multipurpose Foldable Table,Lazada,32,36,- Simple Affordable foldable table- Lightweight multi-purpose- Can be used as coffee table  bedside table  bed table \nlaptop table and sofa table- Multi-environment usage : bed  home  in the wild  car\netc.- Provides stable surface and varying tilts- Thin design and convenient to carry along with\nlaptop,http://sg-live-03.slatic.net/p/3/multipurpose-foldable-table-4171-3974197-f997b19761b854a5a10578bfbe927643-product.jpg,0,furniture,
